         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            48634166             18       48.03       60.04         864.54        1080.72
            13364178             65        1.16        1.45          75.40          94.25
            44816798             57       69.48       86.85        3960.36        4950.45
            25838654             95       45.39       56.73        4312.05        5389.35
            13327997             14       43.58       54.47         610.12         762.58
            98261284             69       68.56       85.70        4730.64        5913.30
            40869331             24       65.81       82.27        1579.44        1974.48
            33105513             71        5.44        6.80         386.24         482.80
            86512365              4       50.53       63.17         202.12         252.68
            40778647             71       51.86       64.82        3682.06        4602.22
            20159555             78        5.09        6.36         397.02         496.08
            68674366             31       30.61       38.26         948.91        1186.06
            83887285             16        7.28        9.09         116.48         145.44
            80839155             40       77.33       96.67        3093.20        3866.80
            99181733              4        1.83        2.29           7.32           9.16
            71269819             59       48.43       60.54        2857.37        3571.86
            70418208             90        1.61        2.01         144.90         180.90
            34018092             48       46.30       57.87        2222.40        2777.76
            71741221             74       31.90       39.88        2360.60        2951.12
            62877586             45       67.51       84.39        3037.95        3797.55
            34569499             29       71.40       89.24        2070.60        2587.96
            49339195             55       64.14       80.17        3527.70        4409.35
            24884595             91       52.89       66.12        4812.99        6016.92
            31800957             21       18.48       23.10         388.08         485.10
            50791171             48       21.98       27.47        1055.04        1318.56
            67234589             84       17.83       22.29        1497.72        1872.36
            43741145             60       65.70       82.13        3942.00        4927.80
            30155711             87       79.71       99.64        6934.77        8668.68
            78024454             25       71.69       89.62        1792.25        2240.50
            47457113             17       50.25       62.81         854.25        1067.77
            90766491             56       17.59       21.98         985.04        1230.88
            62277390             88       76.23       95.29        6708.24        8385.52
            42853737             44        0.89        1.12          39.16          49.28
            42622892             40       66.54       83.18        2661.60        3327.20
            58040505             59       70.69       88.37        4170.71        5213.83
            83387199              2       36.08       45.11          72.16          90.22
            69016024             17       28.08       35.10         477.36         596.70
            71951984             79       30.55       38.19        2413.45        3017.01
            85785023             99       49.71       62.13        4921.29        6150.87
            88089391             11       36.17       45.21         397.87         497.31
            68932125             91       32.85       41.06        2989.35        3736.46
